Disease_Trait,Taxa_String,N_Unique_Sample,Taxa,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc,Best_model
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Bacteroidales___D_4__Rikenellaceae___D_5__Rikenellaceae_RC9_gut_group,3,group,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.25013205,0.081729327,0.032793988,3.622267844,0.1315537020928 + 2.00856008039743 - -1.91143991960257,"lambda=l,delta=ML,kappa=1",3 -/+ 1.1687882357313,-36.55071967,-35.75071967,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Bacteroidales___D_4__Rikenellaceae___D_5__Rikenellaceae_RC9_gut_group,3,group,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.161846995,0.118510696,0.032793988,3.616275245,0.129215040702287 + 2.01765043007772 - -1.90234956992228,"lambda=1,delta=1,kappa=ML",0.230740780587478 -/+ 0.908615287305824,-37.04253323,-36.24253323,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Flavobacteriales___D_4__Flavobacteriaceae___D_5__Maritimimonas,16,Maritimimonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.85933653,0.002023114,-0.060350441,3.91993253,0.127279983095149 + 2.06968778552738 - -1.85031221447262,"lambda=1,delta=1,kappa=1",NA,-30.4898487,-29.6898487,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Flavobacteriales___D_4__Flavobacteriaceae___D_5__Maritimimonas,16,Maritimimonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.930595043,0.000489029,-0.060350441,4.65301472553307e-05 + 1.96052589727934 - -1.95947410272066,0.137476109267207 + 1.98012416012712 - -1.93987583987288,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.926951761382366,-38.24111027,-37.44111027,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Flavobacteriales___D_4__Flavobacteriaceae___D_5__Maritimimonas,16,Maritimimonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.889581259,0.001242121,-0.060350441,3.919944932,0.125719203264248 + 2.01044998528415 - -1.90955001471585,"lambda=l,delta=ML,kappa=1",3 -/+ 1.21017070869555,-35.03835628,-34.23835628,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Bacteroidetes___D_2__Bacteroidia___D_3__Flavobacteriales___D_4__Flavobacteriaceae___D_5__Maritimimonas,16,Maritimimonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.834725437,0.002803147,-0.060350441,3.919904508,0.127418904959715 + 2.02204869830671 - -1.89795130169329,"lambda=1,delta=1,kappa=ML",0.247751985614009 -/+ 0.95411882838668,-34.82505969,-34.02505969,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Beijerinckiaceae___D_5__Methylobacterium,19,Methylobacterium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.815464178,0.003506017,-0.058774857,3.919850208,0.129473699032159 + 2.07018960212346 - -1.84981039787654,"lambda=1,delta=1,kappa=1",NA,-30.51661495,-29.71661495,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Beijerinckiaceae___D_5__Methylobacterium,19,Methylobacterium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.468005731,0.033388552,-0.058774857,0.000535540223246003 + 1.96072037607077 - -1.95927962392923,0.127400823936548 + 1.9833870295723 - -1.9366129704277,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.911667221269147,-38.84356176,-38.04356176,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Beijerinckiaceae___D_5__Methylobacterium,19,Methylobacterium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.946261649,0.000292904,-0.058774857,3.919955908,0.126060074124431 + 2.01171336453244 - -1.90828663546756,"lambda=l,delta=ML,kappa=1",3 -/+ 1.19854835869285,-35.02125725,-34.22125725,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhizobiales___D_4__Beijerinckiaceae___D_5__Methylobacterium,19,Methylobacterium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.543551995,0.023511524,-0.058774857,0.000421247018632775 + 1.96067868776178 - -1.95932131223822,0.118162594374553 + 2.01987366450896 - -1.90012633549104,"lambda=1,delta=1,kappa=ML",0.16376639052974 -/+ 0.921875936504858,-35.14625727,-34.34625727,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured,17,uncultured,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.002286842,0.450624906,0.416288962,0.000568015472449726 + 1.96015679314175 - -1.95984320685825,0.123379262821116 + 2.04134897574883 - -1.87865102425117,"lambda=1,delta=1,kappa=1",NA,-41.23492485,-40.43492485,model_d,model_d,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured,17,uncultured,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.00338366,0.424759741,0.416288962,0.000560963476207269 + 1.96016320278177 - -1.95983679721823,0.123375345726209 + 2.03810460171361 - -1.88189539828639,"lambda=ML,delta=1,kappa=1",0.991440782318571 -/+ NA,-41.32631323,-40.52631323,model_d,model_d,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured,17,uncultured,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.004930816,0.398915688,0.416288962,0.00056428079139203 + 1.96017316591584 - -1.95982683408416,0.122118444782376 + 1.9990674606562 - -1.9209325393438,"lambda=l,delta=ML,kappa=1",3 -/+ 0.71631098420694,-44.17834543,-43.37834543,model_d,model_d,yes
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rhodospirillales___D_4__Terasakiellaceae___D_5__uncultured,17,uncultured,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.004270479,0.408898336,0.416288962,0.000562248214703369 + 1.96016900187123 - -1.95983099812877,0.123727662764635 + 2.03432306841252 - -1.88567693158748,"lambda=1,delta=1,kappa=ML",0.855571656557855 -/+ 1.57075867639594,-41.38123585,-40.58123585,model_d,model_d,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,9,55,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.162559252,0.118134154,0.063017539,3.880992072,0.139025969723554 + 2.06340541781119 - -1.85659458218881,"lambda=1,delta=1,kappa=1",NA,-32.71627182,-31.91627182,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,9,55,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.07288218,0.187238995,0.063017539,3.853122103,0.157215706219622 + 1.97958382674363 - -1.94041617325637,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.895107498153155,-41.96403283,-41.16403283,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,9,55,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.146069326,0.127324013,0.063017539,3.878329256,0.138586382508015 + 2.00786068352469 - -1.91213931647531,"lambda=l,delta=ML,kappa=1",3 -/+ 1.26722970541638,-37.46742114,-36.66742114,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Rickettsiales___D_4__Midichloriaceae___D_5__MD3_55,9,55,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.122893247,0.142221335,0.063017539,3.870330063,0.14516498598889 + 2.01701730324872 - -1.90298269675128,"lambda=1,delta=1,kappa=ML",0.200533150014806 -/+ 0.915861082690573,-37.51762084,-36.71762084,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium,19,Sphingobium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.869122791,0.00174917,-0.060641507,5.91233109005654e-05 + 1.96035310397488 - -1.95964689602512,0.123903149728331 + 2.07088813026151 - -1.84911186973849,"lambda=1,delta=1,kappa=1",NA,-30.48490838,-29.68490838,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium,19,Sphingobium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.128165855,0.138595141,-0.060641507,0.000554906308739213 + 1.96034585123269 - -1.95965414876731,0.108704150859876 + 1.98526147375514 - -1.93473852624486,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.804211791630037,-40.91773757,-40.11773757,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium,19,Sphingobium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.721112246,0.008183146,-0.060641507,0.000128669365940068 + 1.96035413655063 - -1.95964586344937,0.119194782297616 + 2.01287082388354 - -1.90712917611646,"lambda=l,delta=ML,kappa=1",3 -/+ 1.24839446906264,-35.16388682,-34.36388682,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Alphaproteobacteria___D_3__Sphingomonadales___D_4__Sphingomonadaceae___D_5__Sphingobium,19,Sphingobium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.258807481,0.078917171,-0.060641507,0.000368090391008791 + 1.96031438229249 - -1.95968561770751,0.110365127301443 + 2.01583342551364 - -1.90416657448636,"lambda=1,delta=1,kappa=ML",0.0782305630659094 -/+ 0.839576691208904,-36.02883358,-35.22883358,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium,19,Aquabacterium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.552915503,0.022448448,-0.038648524,3.919759364,0.13766508802764 + 2.07001349130538 - -1.84998650869462,"lambda=1,delta=1,kappa=1",NA,-30.86207226,-30.06207226,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium,19,Aquabacterium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.223312875,0.091172825,-0.038648524,0.000466538382211761 + 1.96036824370737 - -1.95963175629263,0.113381594011412 + 1.98645741629681 - -1.93354258370319,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.801484069898706,-39.95311152,-39.15311152,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium,19,Aquabacterium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.737263753,0.007230866,-0.038648524,3.919863328,0.131665091199516 + 2.01358728276383 - -1.90641271723617,"lambda=l,delta=ML,kappa=1",3 -/+ 1.13497048701732,-35.14661265,-34.34661265,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Betaproteobacteriales___D_4__Burkholderiaceae___D_5__Aquabacterium,19,Aquabacterium,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.952932718,0.000224624,-0.038648524,2.4576120989528e-05 + 1.96040989861375 - -1.95959010138625,0.125507598778454 + 2.02395118364763 - -1.89604881635237,"lambda=1,delta=1,kappa=ML",0.239281700614635 -/+ 0.992752907842586,-34.77786786,-33.97786786,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Enterobacteriales___D_4__Enterobacteriaceae___D_5__Pantoea,5,Pantoea,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.50682758,0.028009861,-0.032739523,0.111496720047449 + 2.12420166381249 - -1.79579833618751,0.121336991736951 + 2.06848317879881 - -1.85151682120119,"lambda=1,delta=1,kappa=1",NA,-30.96476891,-30.16476891,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Enterobacteriales___D_4__Enterobacteriaceae___D_5__Pantoea,5,Pantoea,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.362450233,0.052068772,-0.032739523,0.144649505362491 + 2.11429672499206 - -1.80570327500794,0.131660224348019 + 1.97948627180227 - -1.94051372819773,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.91559037591103,-39.19482542,-38.39482542,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Enterobacteriales___D_4__Enterobacteriaceae___D_5__Pantoea,5,Pantoea,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.474841143,0.032391404,-0.032739523,0.118691306445453 + 2.12217872737649 - -1.79782127262351,0.119957548546557 + 2.01007886327141 - -1.90992113672859,"lambda=l,delta=ML,kappa=1",3 -/+ 1.23747899010636,-35.60868131,-34.80868131,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Enterobacteriales___D_4__Enterobacteriaceae___D_5__Pantoea,5,Pantoea,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.384582434,0.047573823,-0.032739523,0.128479040609373 + 2.10371560594188 - -1.81628439405812,0.119428683435684 + 2.01960351307471 - -1.90039648692529,"lambda=1,delta=1,kappa=ML",0.207146297749843 -/+ 0.923754240918358,-35.63828142,-34.83828142,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,18,Endozoicomonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.033199257,0.253403802,0.206741539,0.000154253368680707 + 1.96006619283619 - -1.95993380716381,0.106410111348149 + 2.05522498650586 - -1.86477501349414,"lambda=1,delta=1,kappa=1",NA,-35.71355024,-34.91355024,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,18,Endozoicomonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.178907284,0.109936992,0.206741539,0.000142081367607993 + 1.96010106844627 - -1.95989893155373,0.120105029767788 + 1.98182251073154 - -1.93817748926846,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.983616456028536,-40.32864,-39.52864,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,18,Endozoicomonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.046674287,0.225075478,0.206741539,0.000151332836600229 + 1.96007020027165 - -1.95992979972835,0.106795238963962 + 2.00516448490938 - -1.91483551509062,"lambda=l,delta=ML,kappa=1",3 -/+ 1.01573334198257,-39.60579782,-38.80579782,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Oceanospirillales___D_4__Endozoicomonadaceae___D_5__Endozoicomonas,18,Endozoicomonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.0992886,0.160637769,0.206741539,0.000133723835846522 + 1.96007641871215 - -1.95992358128785,0.107827792643256 + 2.02878144816747 - -1.89121855183253,"lambda=1,delta=1,kappa=ML",0.51967477400093 -/+ 1.25624653193323,-37.34684865,-36.54684865,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas,19,Pseudomonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.533589493,0.024679015,-0.036278547,0.000220620613972534 + 1.96034673363413 - -1.95965326636587,0.114150626467407 + 2.07015512043558 - -1.84984487956442,"lambda=1,delta=1,kappa=1",NA,-30.9031914,-30.1031914,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas,19,Pseudomonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.05334351,0.213817883,-0.036278547,0.000621605559601803 + 1.96029798504362 - -1.95970201495638,0.0988437715755708 + 1.98510204050866 - -1.93489795949134,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.755871805163761,-42.56250821,-41.76250821,model_l,model_l,yes
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas,19,Pseudomonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.413282062,0.042237823,-0.036278547,0.000287126212089121 + 1.96034181485356 - -1.95965818514644,0.108650705033703 + 2.01311603010796 - -1.90688396989204,"lambda=l,delta=ML,kappa=1",3 -/+ 1.30640069177738,-35.79278826,-34.99278826,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Proteobacteria___D_2__Gammaproteobacteria___D_3__Pseudomonadales___D_4__Pseudomonadaceae___D_5__Pseudomonas,19,Pseudomonas,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.095839708,0.163687951,-0.036278547,0.000516664956307192 + 1.96029196099502 - -1.95970803900498,0.0998463768665746 + 2.01179778389874 - -1.90820221610126,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.746814177250455,-37.51760693,-36.71760693,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Tenericutes___D_2__Mollicutes___D_3__Mycoplasmatales___D_4__Mycoplasmataceae___D_5__Mycoplasma,8,Mycoplasma,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.895841835,0.001104553,-0.061326413,3.911209922,0.127403843273017 + 2.06982469704842 - -1.85017530295158,"lambda=1,delta=1,kappa=1",NA,-30.47328869,-29.67328869,model_l,model_l,
growth_rate_mm_per_year,tissue_D_0__Bacteria___D_1__Tenericutes___D_2__Mollicutes___D_3__Mycoplasmatales___D_4__Mycoplasmataceae___D_5__Mycoplasma,8,Mycoplasma,463791,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.300487909,0.066780068,-0.061326413,3.819118523,0.149355805771154 + 1.98090342042087 - -1.93909657957913,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.913937579464988,-39.47636445,-38.67636445,model_l,model_l,yes
