	model_name	compartment	formula	n_parameters	x_traits	y_trait	x_trait	R2	Pr(>|t|)	Estimate	Std. Error	t value	CI lower	CI upper	estimated_parameter	parameter_value	n	AIC	AICc	delta_AICc	best_model	filter_column	filter_value	trait_table	tree	results_dir	FDR_q	analysis_label
37	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	"tissue_Endozoicomonas,depth,temperature"	perc_dis	(Intercept)	0.39475249	0.946564294	0.935380482	13.79798653	0.067791085	-26.10867311	27.97943408	lambda : 0.0358088007494115 (95% CI  NA  -  0.729746855004518 )	0.035808801	26	154.5252849	156.4300468	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
41	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	"tissue_Endozoicomonas,temperature"	perc_dis	(Intercept)	0.378359967	0.896529115	1.7772648	13.5160835	0.131492588	-24.71425886	28.26878846	lambda : 0.0228999700211193 (95% CI  NA  -  0.71700071681536 )	0.02289997	26	153.0464145	154.1373236	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_temperature_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
2	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	"tissue_Endozoicomonas,latitude,depth"	perc_dis	depth	0.398316906	0.568677816	-0.324899962	0.561442805	-0.578687552	-1.42532786	0.775527935	lambda : 0.0511303624751138 (95% CI  NA  -  0.7239319889783 )	0.051130362	26	154.5643262	156.4690881	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_and_depth_vs_perc_dis/PGLS_results.tsv	0.868713491	Endozoicomonas_and_confounders_vs_disease_with_zeros
13	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent	5	"tissue_Endozoicomonas,depth,temperature,turf_contact_percent"	perc_dis	depth	0.407259594	0.583108838	-0.317826689	0.569690714	-0.5578934	-1.434420489	0.79876711	lambda : 0.016554697781182 (95% CI  NA  -  0.735034458075234 )	0.016554698	25	150.91876	154.0766548	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.868713491	Endozoicomonas_and_confounders_vs_disease_with_zeros
19	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	"tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all"	perc_dis	depth	0.408504393	0.572846038	-0.339365561	0.591454575	-0.573781276	-1.498616529	0.819885407	lambda : 0.0154069148058774 (95% CI  NA  -  0.729711629371128 )	0.015406915	25	152.8494235	157.5160901	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_and_turf_contact_percent_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.868713491	Endozoicomonas_and_confounders_vs_disease_with_zeros
29	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + turf_contact_percent	4	"tissue_Endozoicomonas,depth,turf_contact_percent"	perc_dis	depth	0.413334925	0.585437352	-0.29014312	0.523733752	-0.55398973	-1.316661274	0.736375034	lambda : 0.0386058838152481 (95% CI  NA  -  0.688576724188163 )	0.038605884	25	148.9642779	150.9642779	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.868713491	Endozoicomonas_and_confounders_vs_disease_with_zeros
33	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth	3	"tissue_Endozoicomonas,depth"	perc_dis	depth	0.397821516	0.511270006	-0.338224074	0.506914311	-0.667221395	-1.331776122	0.655327975	lambda : 0.0497743116092772 (95% CI  NA  -  0.694833483001245 )	0.049774312	26	152.5691914	153.6601004	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_vs_perc_dis/PGLS_results.tsv	0.868713491	Endozoicomonas_and_confounders_vs_disease_with_zeros
35	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	"tissue_Endozoicomonas,depth,temperature"	perc_dis	depth	0.39475249	0.509471151	-0.365734055	0.545404669	-0.670573751	-1.434727206	0.703259096	lambda : 0.0358088007494115 (95% CI  NA  -  0.729746855004518 )	0.035808801	26	154.5252849	156.4300468	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_vs_perc_dis/PGLS_results.tsv	0.868713491	Endozoicomonas_and_confounders_vs_disease_with_zeros
11	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	"tissue_Endozoicomonas,latitude,depth,turf_contact_percent"	perc_dis	depth	0.423867236	0.755839126	-0.18840736	0.597648292	-0.315247884	-1.359798012	0.982983293	lambda : 0.058875293124495 (95% CI  NA  -  0.786353316983228 )	0.058875293	25	150.7641108	153.9220055	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_and_depth_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
6	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth + turf_contact_percent	5	"tissue_Endozoicomonas,latitude,depth,turf_contact_percent"	perc_dis	latitude	0.423867236	0.684219134	-0.044961729	0.10894608	-0.41269708	-0.258496045	0.168572587	lambda : 0.058875293124495 (95% CI  NA  -  0.786353316983228 )	0.058875293	25	150.7641108	153.9220055	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_and_depth_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.983565005	Endozoicomonas_and_confounders_vs_disease_with_zeros
22	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	"tissue_Endozoicomonas,latitude,depth"	perc_dis	latitude	0.398316906	0.949107181	-0.005961674	0.092342796	-0.064560251	-0.186953555	0.175030207	lambda : 0.0511303624751138 (95% CI  NA  -  0.7239319889783 )	0.051130362	26	154.5643262	156.4690881	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_and_depth_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
38	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	"tissue_Endozoicomonas,latitude"	perc_dis	latitude	0.384559299	0.766267426	-0.025365677	0.084326657	-0.300802587	-0.190645925	0.139914572	lambda : 0.034979035782643 (95% CI  NA  -  0.703911267277632 )	0.034979036	26	152.9486904	154.0395995	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
1	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	"tissue_Endozoicomonas,observed_features_all"	perc_dis	observed_features_all	0.37930771	0.961800387	-0.000675767	0.013956674	-0.048418915	-0.028030847	0.026679313	lambda : 0.025653639186563 (95% CI  NA  -  0.647036597133267 )	0.025653639	26	153.0447982	154.1357072	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
16	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	"tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all"	perc_dis	observed_features_all	0.408504393	0.820727668	0.003783234	0.016465465	0.229767825	-0.028489077	0.036055545	lambda : 0.0154069148058774 (95% CI  NA  -  0.729711629371128 )	0.015406915	25	152.8494235	157.5160901	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_and_turf_contact_percent_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
27	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	"tissue_Endozoicomonas,observed_features_all"	perc_dis	observed_features_all	0.37930771	0.961800387	-0.000675767	0.013956674	-0.048418915	-0.028030847	0.026679313	lambda : 0.025653639186563 (95% CI  NA  -  0.647036597133267 )	0.025653639	26	153.0447982	154.1357072	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
10	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	"tissue_Endozoicomonas,temperature"	perc_dis	temperature	0.378359967	0.973549597	0.017539518	0.523264712	0.033519397	-1.008059318	1.043138353	lambda : 0.0228999700211193 (95% CI  NA  -  0.71700071681536 )	0.02289997	26	153.0464145	154.1373236	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_temperature_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
14	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent	5	"tissue_Endozoicomonas,depth,temperature,turf_contact_percent"	perc_dis	temperature	0.407259594	0.825543545	0.134598559	0.6026877	0.223330522	-1.046669332	1.31586645	lambda : 0.016554697781182 (95% CI  NA  -  0.735034458075234 )	0.016554698	25	150.91876	154.0766548	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
18	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature + turf_contact_percent + observed_features_all	6	"tissue_Endozoicomonas,depth,temperature,turf_contact_percent,observed_features_all"	perc_dis	temperature	0.408504393	0.803820447	0.157195365	0.624030414	0.251903371	-1.065904246	1.380294975	lambda : 0.0154069148058774 (95% CI  NA  -  0.729711629371128 )	0.015406915	25	152.8494235	157.5160901	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_and_turf_contact_percent_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
43	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	"tissue_Endozoicomonas,depth,temperature"	perc_dis	temperature	0.39475249	0.837717755	0.115050483	0.555117827	0.207254166	-0.972980459	1.203081424	lambda : 0.0358088007494115 (95% CI  NA  -  0.729746855004518 )	0.035808801	26	154.5252849	156.4300468	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_vs_perc_dis/PGLS_results.tsv	0.990049388	Endozoicomonas_and_confounders_vs_disease_with_zeros
4	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	"tissue_Endozoicomonas,observed_features_all"	perc_dis	tissue_Endozoicomonas	0.37930771	0.001302226	0.017498482	0.004780539	3.660357367	0.008128625	0.026868339	lambda : 0.025653639186563 (95% CI  NA  -  0.647036597133267 )	0.025653639	26	153.0447982	154.1357072	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.013721749	Endozoicomonas_and_confounders_vs_disease_with_zeros
7	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + turf_contact_percent	3	"tissue_Endozoicomonas,turf_contact_percent"	perc_dis	tissue_Endozoicomonas	0.397036952	0.000998642	0.01826417	0.004815623	3.79269063	0.008825548	0.027702792	lambda : 0.0138840725135879 (95% CI  NA  -  0.6373800422726 )	0.013884073	25	147.307026	148.4498832	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_turf_contact_percent_vs_perc_dis/PGLS_results.tsv	0.013721749	Endozoicomonas_and_confounders_vs_disease_with_zeros
8	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + temperature	3	"tissue_Endozoicomonas,temperature"	perc_dis	tissue_Endozoicomonas	0.378359967	0.001248772	0.017550652	0.004772552	3.677414186	0.008196449	0.026904855	lambda : 0.0228999700211193 (95% CI  NA  -  0.71700071681536 )	0.02289997	26	153.0464145	154.1373236	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_temperature_vs_perc_dis/PGLS_results.tsv	0.013721749	Endozoicomonas_and_confounders_vs_disease_with_zeros
39	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude	3	"tissue_Endozoicomonas,latitude"	perc_dis	tissue_Endozoicomonas	0.384559299	0.001491494	0.017291066	0.004796351	3.605045946	0.007890218	0.026691915	lambda : 0.034979035782643 (95% CI  NA  -  0.703911267277632 )	0.034979036	26	152.9486904	154.0395995	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_vs_perc_dis/PGLS_results.tsv	0.013721749	Endozoicomonas_and_confounders_vs_disease_with_zeros
42	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + observed_features_all	3	"tissue_Endozoicomonas,observed_features_all"	perc_dis	tissue_Endozoicomonas	0.37930771	0.001302226	0.017498482	0.004780539	3.660357367	0.008128625	0.026868339	lambda : 0.025653639186563 (95% CI  NA  -  0.647036597133267 )	0.025653639	26	153.0447982	154.1357072	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_observed_features_all_vs_perc_dis/PGLS_results.tsv	0.013721749	Endozoicomonas_and_confounders_vs_disease_with_zeros
25	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + depth + temperature	4	"tissue_Endozoicomonas,depth,temperature"	perc_dis	tissue_Endozoicomonas	0.39475249	0.00417501	0.016429765	0.005141352	3.195611912	0.006352716	0.026506815	lambda : 0.0358088007494115 (95% CI  NA  -  0.729746855004518 )	0.035808801	26	154.5252849	156.4300468	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_depth_and_temperature_vs_perc_dis/PGLS_results.tsv	0.019205046	Endozoicomonas_and_confounders_vs_disease_with_zeros
26	BM_Lambda	tissue	perc_dis ~ tissue_Endozoicomonas + latitude + depth	4	"tissue_Endozoicomonas,latitude,depth"	perc_dis	tissue_Endozoicomonas	0.398316906	0.004112376	0.016433211	0.005132125	3.202028578	0.006374246	0.026492175	lambda : 0.0511303624751138 (95% CI  NA  -  0.7239319889783 )	0.051130362	26	154.5643262	156.4690881	0	TRUE	None	None	../output/GCMP_trait_table_with_abundances_and_adiv_and_metadata_zeros_depth.tsv	../output/huang_roy_genus_tree.newick	../output/PIC_results/A5c_Endozoicomonas_and_confounders_vs_disease_with_zeros/PIC_tissue_Endozoicomonas_and_latitude_and_depth_vs_perc_dis/PGLS_results.tsv	0.019205046	Endozoicomonas_and_confounders_vs_disease_with_zeros
