"Disease_Trait","Diversity_Trait","Filtered_Column","Filtered_Value","N_Microbes","Compartment","Model","pVal","R_Squared"
"perc_dis","mucus_weighted_unifrac_ordination_PC1","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",513038,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.640870495203602,0.00788031202885475
"perc_bbd","mucus_weighted_unifrac_ordination_PC1","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",513038,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.890354092253448,0.000690712798187659
"perc_wd","mucus_weighted_unifrac_ordination_PC1","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",513038,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.760751020102489,0.00336527910702494
"perc_dis","mucus_weighted_unifrac_ordination_PC2","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",513038,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.66942441586524,0.00660515161440942
"perc_bbd","mucus_weighted_unifrac_ordination_PC2","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",513038,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.8683398189152,0.00099856759699155
"perc_wd","mucus_weighted_unifrac_ordination_PC2","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",513038,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.518834131567628,0.0150181581723066
"perc_dis","mucus_weighted_unifrac_ordination_PC3","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",513038,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.213087175730324,0.0548025278542732
"perc_bbd","mucus_weighted_unifrac_ordination_PC3","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",513038,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.790370299236016,0.00256592175562638
"perc_wd","mucus_weighted_unifrac_ordination_PC3","most_abundant_class_mucus","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",513038,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.0880875581376669,0.10034750308518
"perc_dis","tissue_weighted_unifrac_ordination_PC1","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",494899,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.167562671168909,0.0811344233048626
"perc_bbd","tissue_weighted_unifrac_ordination_PC1","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",494899,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.189309186324305,0.0736910114061499
"perc_wd","tissue_weighted_unifrac_ordination_PC1","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",494899,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.808954031351348,0.00259399667128224
"perc_dis","tissue_weighted_unifrac_ordination_PC2","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",494899,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.0550646017154012,0.150809334586464
"perc_bbd","tissue_weighted_unifrac_ordination_PC2","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",494899,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.519365325658228,0.0182769987666198
"perc_wd","tissue_weighted_unifrac_ordination_PC2","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",494899,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.842659140080498,0.00174912362863803
"perc_dis","tissue_weighted_unifrac_ordination_PC3","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",494899,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.633900029247745,0.0100271186718707
"perc_bbd","tissue_weighted_unifrac_ordination_PC3","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",494899,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.921212334282775,0.000434577498241685
"perc_wd","tissue_weighted_unifrac_ordination_PC3","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",494899,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.641489390570762,0.00958673969364149
"perc_dis","skeleton_weighted_unifrac_ordination_PC1","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",101527,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.170538396255105,0.338569327668631
"perc_bbd","skeleton_weighted_unifrac_ordination_PC1","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",101527,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.667838783430697,0.0398449463184238
"perc_wd","skeleton_weighted_unifrac_ordination_PC1","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",101527,"PC1","lm(y_trait_positive ~ x_trait_positive -1)",0.422496203510368,0.132320356485616
"perc_wd","skeleton_weighted_unifrac_ordination_PC2","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",101527,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.177553785178232,0.329775970792956
"perc_dis","skeleton_weighted_unifrac_ordination_PC2","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",101527,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.126619463423176,0.401357412782855
"perc_bbd","skeleton_weighted_unifrac_ordination_PC2","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",101527,"PC2","lm(y_trait_positive ~ x_trait_positive -1)",0.526485902562315,0.0847380287920439
"perc_dis","skeleton_weighted_unifrac_ordination_PC3","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",101527,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.118691149505414,0.414449596108151
"perc_bbd","skeleton_weighted_unifrac_ordination_PC3","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",101527,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.907450373637233,0.00298089446674194
"perc_wd","skeleton_weighted_unifrac_ordination_PC3","most_abundant_class_skeleton","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria",101527,"PC3","lm(y_trait_positive ~ x_trait_positive -1)",0.813136458178167,0.0122654871325625
