Disease_Trait,Diversity_Trait,Filtered_column,Filtered_Value,N_Microbes,Compartment,Package,Model,pVal,R_Squared,Adj_R_Squared,x_Trait_Slope_95CI,Intercept_95CI,Parameters,Estimated_Parameter_95CI,AIC,AICc,Minimum_AIC,Minimum_AICc,
perc_bbd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.571252424,0.068325076,-0.118009908,0.0526988304551419 + 2.04702782212111 - -1.87297217787889,0.0699037406065087 + 2.02812969793114 - -1.89187030206886,"lambda=1,delta=1,kappa=ML",0.572034184826743 -/+ NA,-12.60262143,-9.602621429,Model_3l_AIC,Model_3l_AICc,
perc_wd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.090456265,0.467190661,0.360628793,0.265228008335714 + 2.08666983937438 - -1.83333016062562,0.0347252778621725 + 2.02074667053029 - -1.89925332946971,"lambda=1,delta=1,kappa=1",NA,-16.32385922,-13.32385922,,,
perc_wd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.194801187,0.309318352,0.171182023,0.136603286662323 + 2.05128769906845 - -1.86871230093155,0.0658046498870635 + 1.98748334809101 - -1.93251665190899,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-18.52647909,-15.52647909,,,
perc_wd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.142147415,0.377439766,0.25292772,0.198267805457119 + 2.07387648630202 - -1.84612351369798,0.0477156899975745 + 2.00110537004014 - -1.91889462995986,"lambda=l,delta=ML,kappa=1",3 -/+ 0.203553840929323,-17.58087872,-14.58087872,,,
perc_wd,dominance_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.093317348,0.461333901,0.353600681,0.260297350733539 + 2.08578732542011 - -1.83421267457989,0.0366282188817429 + 2.01802242782467 - -1.90197757217533,"lambda=1,delta=1,kappa=ML",0.844342716898545 -/+ NA,-16.33265321,-13.33265321,Model_3l_AIC,Model_3l_AICc,
perc_dis,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.831211713,0.009984526,-0.188018569,3.905335439,0.846203496376849 + 2.17672873364765 - -1.74327126635235,"lambda=1,delta=1,kappa=1",NA,-0.609850641,2.390149359,,,
perc_dis,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.97388367,0.000236717,-0.19971594,0.00132074466606913 + 1.99838554887398 - -1.92161445112602,0.819590572245832 + 2.05179262419383 - -1.86820737580617,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-3.829419024,-0.829419024,,,
perc_dis,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.878307478,0.005165048,-0.193801942,3.911629118,0.837439639448174 + 2.10611321977198 - -1.81388678022802,"lambda=l,delta=ML,kappa=1",3 -/+ 0.401751609982125,-2.608031861,0.391968139,,,
perc_dis,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.608588705,0.056251668,-0.132497998,3.8898286,0.832607920247848 + 2.12604270566635 - -1.79395729433365,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 2.07869222856128,-1.93991374,1.06008626,Model_3l_AIC,Model_3l_AICc,
perc_bbd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.254283782,0.248991943,0.098790332,0.236459202900168 + 2.1436542022945 - -1.7763457977055,0.740036577735139 + 2.11808694595124 - -1.80191305404876,"lambda=1,delta=1,kappa=1",NA,-2.543979994,0.456020006,,,
perc_bbd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.189222057,0.315764787,0.178917744,0.186985834077487 + 2.0830961770851 - -1.8369038229149,0.768805243400952 + 2.02198136442757 - -1.89801863557243,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.99322588118735,-6.4839366,-3.4839366,,,
perc_bbd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.237082717,0.265029665,0.118035597,0.212596234799897 + 2.11832818323069 - -1.80167181676931,0.748470729736101 + 2.05815732042211 - -1.86184267957789,"lambda=l,delta=ML,kappa=1",3 -/+ 0.455322138484358,-4.727258812,-1.727258812,,,
perc_bbd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.240089707,0.262151629,0.114581954,0.213913821957228 + 2.12049485935408 - -1.79950514064592,0.721089671799594 + 2.07105373126953 - -1.84894626873047,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 1.90994624149576,-3.662762058,-0.662762058,Model_3l_AIC,Model_3l_AICc,
perc_wd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data)",0.144448252,0.374070895,0.248885074,0.534907874036168 + 2.26944224472759 - -1.6505577552724,0.705406844921638 + 2.10839827840203 - -1.81160172159797,"lambda=1,delta=1,kappa=1",NA,-3.819234853,-0.819234853,,,
perc_wd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.115309988,0.420235427,0.304282513,0.378105511900106 + 2.15861292720857 - -1.76138707279143,0.75180983430674 + 2.01979500271722 - -1.90020499728278,"lambda=ML,delta=1,kappa=1",1e-06 -/+ NA,-7.643693975,-4.643693975,,,
perc_wd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.142227633,0.377321596,0.252785916,0.456954093825211 + 2.22252075252436 - -1.69747924747565,0.721221548082871 + 2.05476067471128 - -1.86523932528872,"lambda=l,delta=ML,kappa=1",3 -/+ 0.423969963116417,-5.887858524,-2.887858524,,,
perc_wd,gini_index_skeleton,most_abundant_class_skeleton,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,101527,skeleton,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.101237072,0.445780106,0.334936127,0.540852865716882 + 2.22969621237633 - -1.69030378762367,0.691129755993909 + 2.05899685381499 - -1.86100314618501,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 1.57975115942466,-5.665999766,-2.665999766,Model_3l_AIC,Model_3l_AICc,
perc_dis,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.095889994,0.115885281,0.077445511,4.71146777425555 + 4.67351656848033 - 0.753516568480332,135.763794739986 + 128.418898487894 - 124.498898487894,"lambda=1,delta=1,kappa=1",NA,303.9843895,304.5298441,,,
perc_dis,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.068182828,0.137358262,0.0998521,4.55322950391294 + 4.33926854570559 - 0.419268545705587,136.099212148959 + 102.835999682232 - 98.9159996822319,"lambda=ML,delta=1,kappa=1",0.983173856291417 -/+ 0.998493606084066,297.3509624,297.8964169,,,
perc_dis,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.127883281,0.097852992,0.058629209,4.48207076511313 + 4.79769942374705 - 0.877699423747049,139.64957828097 + 61.7122610507242 - 57.7922610507242,"lambda=l,delta=ML,kappa=1",3 -/+ 0.950837991487109,300.3018788,300.8473333,,,
perc_dis,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.082710015,0.125189968,0.087154749,4.57830487040173 + 4.48355575351732 - 0.563555753517321,134.692226282391 + 82.5736740579032 - 78.6536740579032,"lambda=1,delta=1,kappa=ML",0.545894638040695 -/+ 0.901146152448543,297.4195708,297.9650253,Model_3l_AIC,Model_3l_AICc,
perc_bbd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.216082114,0.065724266,0.025103582,-103.4482484,174.289831976587 + 131.958640864275 - 128.038640864275,"lambda=1,delta=1,kappa=1",NA,305.3640092,305.9094638,,,
perc_bbd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.103201516,0.111269363,0.0726289,-113.7008759,175.484340411448 + 99.7123520728741 - 95.7923520728741,"lambda=ML,delta=1,kappa=1",0.970437522694274 -/+ 0.997863973656508,298.1305959,298.6760505,,,
perc_bbd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.200392178,0.070249961,0.029826046,-104.9158712,179.029334182723 + 62.8157049769729 - 58.8957049769729,"lambda=l,delta=ML,kappa=1",3 -/+ 1.13889984770716,301.055336,301.6007905,,,
perc_bbd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.036089877,0.177263578,0.14149243,-133.1871865,171.970572181399 + 72.2394193585718 - 68.3194193585718,"lambda=1,delta=1,kappa=ML",0.394908870400119 -/+ 0.8036078390723,296.1915685,296.7370231,Model_3k_AIC,Model_3k_AICc,
perc_wd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.788771606,0.003184056,-0.040155768,-4.347976515,160.717038618556 + 136.01870434332 - 132.09870434332,"lambda=1,delta=1,kappa=1",NA,306.9838725,307.529327,,,
perc_wd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.784523719,0.003316459,-0.040017608,-3.339791728,159.890064741705 + 108.315541895416 - 104.395541895416,"lambda=ML,delta=1,kappa=1",0.978997528863165 -/+ 0.998682225778496,300.9232097,301.4686643,,,
perc_wd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.829645849,0.002054794,-0.041334128,-2.787294517,163.010351623309 + 64.4835543670765 - 60.5635543670765,"lambda=l,delta=ML,kappa=1",3 -/+ 1.09647273877291,302.8249009,303.3703554,,,
perc_wd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.865878123,0.001266704,-0.042156483,-0.632974891,157.579548909916 + 86.1485695257296 - 82.2285695257296,"lambda=1,delta=1,kappa=ML",0.5239625827832 -/+ 0.905354460485045,300.7189983,301.2644528,Model_3k_AIC,Model_3k_AICc,
perc_dis,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.000285034,0.442556541,0.418319869,0.0192555294320049 + 1.96450617003919 - -1.95549382996081,0.0970994879120626 + 2.17000251340804 - -1.74999748659196,"lambda=1,delta=1,kappa=1",NA,-16.04326656,-15.49781201,,,
perc_dis,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.000438809,0.42224742,0.397127742,0.0174485210165716 + 1.96425580918452 - -1.95574419081548,0.119924557791269 + 1.99530392355072 - -1.92469607644928,"lambda=ML,delta=1,kappa=1",0.0770786189312204 -/+ 0.646836237517342,-34.98640881,-34.44095426,,,
perc_dis,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.000301959,0.43987915,0.41552607,0.0190249849306948 + 1.96447645872542 - -1.95552354127458,0.0941496912503059 + 2.05425893669567 - -1.86574106330433,"lambda=l,delta=ML,kappa=1",3 -/+ 1.62737694669619,-22.29395475,-21.7485002,,,
perc_dis,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",6.61E-05,0.506630405,0.485179553,0.0180284598930424 + 1.96370966997929 - -1.95629033002071,0.103460789352584 + 2.04095500427425 - -1.87904499572575,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.403624782552435,-29.51619354,-28.97073899,Model_3l_AIC,Model_3l_AICc,
perc_bbd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.950036244,0.00017445,-0.043296226,3.908431493,0.18864415244996 + 2.24124990808311 - -1.67875009191689,"lambda=1,delta=1,kappa=1",NA,-1.437773182,-0.892318637,,,
perc_bbd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.802942691,0.002763056,-0.040595072,3.891469477,0.205435416304459 + 1.99438525961082 - -1.92561474038918,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.444453980932111,-22.02461457,-21.47916003,,,
perc_bbd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.930957614,0.000333484,-0.043130277,3.904987513,0.184584004804299 + 2.08633152749379 - -1.83366847250621,"lambda=l,delta=ML,kappa=1",3 -/+ 1.65612628551565,-7.812225371,-7.266770825,,,
perc_bbd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.951033467,0.000167548,-0.043303429,3.912816863,0.194110033982035 + 2.07281956617685 - -1.84718043382315,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.480521594204021,-11.85796505,-11.31251051,Model_3l_AIC,Model_3l_AICc,
perc_wd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data)",0.475644306,0.022354643,-0.020151676,3.874183514,0.203431992411174 + 2.23765608593959 - -1.68234391406042,"lambda=1,delta=1,kappa=1",NA,-1.998618951,-1.453164406,,,
perc_wd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=ML,kappa=1,delta=1)",0.663473933,0.008377223,-0.034736811,3.899090383,0.211139077366277 + 1.99746655687814 - -1.92253344312186,"lambda=ML,delta=1,kappa=1",1e-06 -/+ 0.438474359393209,-22.1657553,-21.62030075,,,
perc_wd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=1,delta=ML)",0.492876171,0.020676893,-0.021902372,3.877403702,0.19891634164616 + 2.08399931643992 - -1.83600068356008,"lambda=l,delta=ML,kappa=1",3 -/+ 1.64764463848909,-8.326228207,-7.780773662,,,
perc_wd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,caper,"pgls(x_trait~y_trait, data=comp.data, lambda=1,kappa=ML,delta=1)",0.771624526,0.003736294,-0.039579519,3.905430937,0.196587127691744 + 2.07252751975093 - -1.84747248024907,"lambda=1,delta=1,kappa=ML",1e-06 -/+ 0.498647907138073,-11.94735829,-11.40190375,Model_3l_AIC,Model_3l_AICc,
