Disease_Trait,Diversity_Trait,Filtered_Column,Filtered_Value,N_Microbes,Compartment,Model,pVal,R_Squared
perc_bbd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.216082114,0.065724266
perc_wd,observed_features_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.788771606,0.003184056
perc_dis,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.000285034,0.442556541
perc_bbd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.950036244,0.00017445
perc_wd,dominance_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.475644306,0.022354643
perc_dis,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.891220206,0.000830711
perc_bbd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.839706549,0.001816236
perc_wd,gini_index_tissue,most_abundant_class_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,494899,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.633322772,0.010061105
perc_dis,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.128650041,0.297679861
perc_wd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.817080082,0.008172894
perc_bbd,observed_features_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.730334896,0.018057237
perc_dis,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.068198829,0.398634481
perc_bbd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.100170282,0.338689598
perc_wd,dominance_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.071444898,0.391595426
perc_dis,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.013987157,0.601956851
perc_bbd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.697739353,0.022868757
perc_wd,gini_index_tissue,most_abundant_genus_tissue,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Endozoicomonadaceae;D_5__Endozoicomonas,261343,tissue,lm(y_trait_positive ~ x_trait_positive -1),0.200961296,0.221563073
perc_dis,observed_features_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.872366535,0.016290301
perc_bbd,observed_features_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.866464323,0.017831777
perc_wd,observed_features_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.872366535,0.016290301
perc_wd,dominance_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.238196858,0.580344027
perc_dis,dominance_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.238196858,0.580344027
perc_bbd,dominance_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.144555445,0.731785386
perc_dis,gini_index_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.040957166,0.919763157
perc_bbd,gini_index_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.001377618,0.997246661
perc_wd,gini_index_skeleton,most_abundant_family_skeleton,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,1070,skeleton,lm(y_trait_positive ~ x_trait_positive -1),0.040957166,0.919763157
"perc_dis","observed_features_tissue","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.761998754802388,0.00868737048329117
"perc_bbd","observed_features_tissue","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.111690068780041,0.213739092513733
"perc_wd","observed_features_tissue","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.936464764510737,0.000604306699022999
"perc_dis","dominance_tissue","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.360527117461653,0.0764309711843236
"perc_wd","dominance_tissue","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.127807692635807,0.197810457374537
"perc_bbd","dominance_tissue","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.0836451787148083,0.247512475072307
"perc_dis","gini_index_tissue","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.874300632858952,0.00237795200705465
"perc_bbd","gini_index_tissue","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.253811681803795,0.116460123669321
"perc_wd","gini_index_tissue","most_abundant_class_tissue","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria",47958,"tissue","lm(y_trait_positive ~ x_trait_positive -1)",0.0281451671808909,0.367216151157376
